company,ticker,exchange_currency,price_inr,price_orig,change_inr,change_pct,high_inr,low_inr,prev_close_inr,week52_high_inr,week52_low_inr,market_cap_inr_cr,volume,inr_rate_used,category,fetched_at_ist,spread_inr,from_52w_high_pct,sentiment
Reliance,RELIANCE.NS,INR,1430.8,1430.8,5.4,0.38,1437.0,1393.1,1425.4,1611.8,1290.0,1943263.07,30957881,1.0,Indian,2026-05-01 12:16 IST,43.9,-11.23,Neutral
HDFC Bank,HDFCBANK.NS,INR,771.7,771.7,-7.3,-0.94,778.8,762.25,779.0,1020.5,726.65,1192731.11,47998755,1.0,Indian,2026-05-01 12:16 IST,16.55,-24.38,Neutral
TCS,TCS.NS,INR,2473.9,2473.9,-0.8,-0.03,2491.0,2438.0,2474.7,3509.22,2346.2,895404.3,3970446,1.0,Indian,2026-05-01 12:16 IST,53.0,-29.5,Neutral
Bajaj Finance,BAJFINANCE.NS,INR,937.0,937.0,7.0,0.75,975.0,933.9,930.0,1102.5,787.9,584293.84,27364272,1.0,Indian,2026-05-01 12:16 IST,41.1,-15.01,Neutral
Infosys,INFY.NS,INR,1181.8,1181.8,14.3,1.22,1189.8,1159.6,1167.5,1728.0,1149.8,478555.52,12205669,1.0,Indian,2026-05-01 12:16 IST,30.2,-31.61,Bullish
ITC,ITC.NS,INR,314.9,314.9,-1.35,-0.43,317.5,313.3,316.25,427.21,287.0,394928.84,11541956,1.0,Indian,2026-05-01 12:16 IST,4.2,-26.29,Neutral
ONGC,ONGC.NS,INR,299.55,299.55,-1.85,-0.61,307.45,296.9,301.4,307.5,216.72,375898.74,17490096,1.0,Indian,2026-05-01 12:16 IST,10.55,-2.59,Neutral
Tata Steel,TATASTEEL.NS,INR,211.36,211.36,-4.52,-2.09,215.78,210.0,215.88,218.24,136.27,263654.86,24894783,1.0,Indian,2026-05-01 12:16 IST,5.78,-3.15,Bearish
Wipro,WIPRO.NS,INR,200.65,200.65,-0.03,-0.01,202.15,200.0,200.68,266.23,186.5,210838.16,15300274,1.0,Indian,2026-05-01 12:16 IST,2.15,-24.63,Neutral
NVIDIA,NVDA,USD,18954.32,199.57,-919.36,-4.63,19973.41,18871.69,19873.68,20593.6,10522.74,46068468.31,224690300,94.97578117580017,Global,2026-05-01 12:16 IST,1101.72,-7.96,Bearish
Alphabet,GOOGL,USD,36546.68,384.8,3310.85,9.96,36645.46,34744.04,33235.83,36645.46,13992.7,44277925.37,71949900,94.97578117580017,Global,2026-05-01 12:16 IST,1901.42,-0.27,Bullish
Apple,AAPL,USD,25771.68,271.35,112.07,0.44,26213.32,25466.81,25659.61,27386.28,18274.42,37835762.45,90134300,94.97578117580017,Global,2026-05-01 12:16 IST,746.51,-5.9,Neutral
Microsoft,MSFT,USD,38729.22,407.78,-1584.2,-3.93,39359.86,37801.31,40313.42,52449.62,33837.97,28769751.11,70783800,94.97578117580017,Global,2026-05-01 12:16 IST,1558.55,-26.16,Bearish
Amazon,AMZN,USD,25174.28,265.06,191.85,0.77,26011.97,24329.0,24982.43,26011.97,17461.3,27073054.95,100869700,94.97578117580017,Global,2026-05-01 12:16 IST,1682.97,-3.22,Neutral
Meta,META,USD,58116.63,611.91,-5433.57,-8.55,58965.71,56985.47,63550.19,75447.28,49412.1,14752460.21,52674900,94.97578117580017,Global,2026-05-01 12:16 IST,1980.24,-22.97,Bearish
Tesla,TSLA,USD,36245.61,381.63,838.64,2.37,36541.93,34967.23,35406.97,47376.77,25738.44,13612849.46,50941500,94.97578117580017,Global,2026-05-01 12:16 IST,1574.7,-23.49,Bullish
Samsung,005930.KS,KRW,14197.51,220500.0,-354.13,-2.43,14809.19,14197.51,14551.64,14809.19,3397.7,9322882.37,22161975,0.06438778548256327,Global,2026-05-01 12:16 IST,611.68,-4.13,Bearish
